id,ident,type,name,lat,long,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
3384,KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.63669967651367,-84.4281005859375,1026,,US,US-GA,Atlanta,1,KATL,ATL,ATL,http://www.atlanta-airport.com/,http://en.wikipedia.org/wiki/Hartsfield-Jackson_Atlanta_International_Airport,
3864,KSAV,large_airport,Savannah Hilton Head International Airport,32.12760162,-81.20210266,50,,US,US-GA,Savannah,1,KSAV,SAV,SAV,,http://en.wikipedia.org/wiki/Savannah/Hilton_Head_International_Airport,
3496,KDSM,large_airport,Des Moines International Airport,41.534000396728516,-93.66310119628906,958,,US,US-IA,Des Moines,1,KDSM,DSM,DSM,,http://en.wikipedia.org/wiki/Des_Moines_International_Airport,
3754,KORD,large_airport,Chicago O'Hare International Airport,41.97859955,-87.90480042,672,,US,US-IL,Chicago,1,KORD,ORD,ORD,http://www.flychicago.com/ohare/en/home/Pages/default.aspx,http://en.wikipedia.org/wiki/O'Hare_International_Airport,"CHI, Orchard Place"
3695,KMLI,large_airport,Quad City International Airport,41.44850158691406,-90.50749969482422,590,,US,US-IL,Moline,1,KMLI,MLI,MLI,,http://en.wikipedia.org/wiki/Quad_City_International_Airport,
3773,KPIA,large_airport,General Wayne A. Downing Peoria International Airport,40.664199829100006,-89.6932983398,660,,US,US-IL,Peoria,1,KPIA,PIA,PIA,,http://en.wikipedia.org/wiki/General_Wayne_A._Downing_Peoria_International_Airport,Peoria International Airport
3547,KFWA,large_airport,Fort Wayne International Airport,40.97850037,-85.19509888,814,,US,US-IN,Fort Wayne,1,KFWA,FWA,FWA,https://fwairport.com/,http://en.wikipedia.org/wiki/Fort_Wayne_International_Airport,Baer Field
3610,KIND,large_airport,Indianapolis International Airport,39.71730041503906,-86.29440307617188,797,,US,US-IN,Indianapolis,1,KIND,IND,IND,,http://en.wikipedia.org/wiki/Indianapolis_International_Airport,
3471,KCVG,large_airport,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,896,,US,US-KY,Cincinnati,1,KCVG,CVG,CVG,,http://en.wikipedia.org/wiki/Cincinnati/Northern_Kentucky_International_Airport,
3873,KSDF,large_airport,Louisville International Standiford Field,38.174400329589844,-85.73600006103516,501,,US,US-KY,Louisville,1,KSDF,SDF,SDF,,http://en.wikipedia.org/wiki/Louisville_International_Airport,
3711,KMSY,large_airport,Louis Armstrong New Orleans International Airport,29.99340057373047,-90.25800323486328,4,,US,US-LA,New Orleans,1,KMSY,MSY,MSY,,http://en.wikipedia.org/wiki/Louis_Armstrong_New_Orleans_International_Airport,
3422,KBOS,large_airport,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,20,,US,US-MA,Boston,1,KBOS,BOS,BOS,http://www.massport.com/logan/,http://en.wikipedia.org/wiki/Logan_International_Airport,General Edward Lawrence Logan International Airport
3435,KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.17539978,-76.66829681,146,,US,US-MD,Baltimore,1,KBWI,BWI,BWI,,http://en.wikipedia.org/wiki/Baltimore-Washington_International_Thurgood_Marshall_Airport,WAS
3405,KBGR,large_airport,Bangor International Airport,44.80739974975586,-68.8281021118164,192,,US,US-ME,Bangor,1,KBGR,BGR,BGR,,http://en.wikipedia.org/wiki/Bangor_International_Airport,
3796,KPWM,large_airport,Portland International Jetport Airport,43.64619827,-70.30930328,76,,US,US-ME,Portland,1,KPWM,PWM,PWM,,http://en.wikipedia.org/wiki/Portland_International_Jetport,
3664,KMBS,large_airport,MBS International Airport,43.532901763916016,-84.07959747314453,668,,US,US-MI,Saginaw,1,KMBS,MBS,MBS,http://www.mbsairport.org/,http://en.wikipedia.org/wiki/MBS_International_Airport,"Tri City Airport, Midland, Bay City"
3491,KDLH,large_airport,Duluth International Airport,46.8420982361,-92.19360351559999,1428,,US,US-MN,Duluth,1,KDLH,DLH,DLH,http://www.duluthairport.com/,http://en.wikipedia.org/wiki/Duluth_International_Airport,"LKI, Duluth Air National Guard Base, Lakeside AFB"
3709,KMSP,large_airport,Minneapolis-St Paul International/Wold-Chamberlain Airport,44.881999969499994,-93.22180175780001,841,,US,US-MN,Minneapolis,1,KMSP,MSP,MSP,http://www.mspairport.com/,http://en.wikipedia.org/wiki/Minneapolis-Saint_Paul_International_Airport,
3857,KRST,large_airport,Rochester International Airport,43.90829849243164,-92.5,1317,,US,US-MN,Rochester,1,KRST,RST,RST,,http://en.wikipedia.org/wiki/Rochester_International_Airport,
3668,KMCI,large_airport,Kansas City International Airport,39.29759979248047,-94.71389770507812,1026,,US,US-MO,Kansas City,1,KMCI,MCI,MCI,,,
3905,KSTL,large_airport,Lambert St Louis International Airport,38.74869918823242,-90.37000274658203,618,,US,US-MO,St Louis,1,KSTL,STL,STL,http://www.lambert-stlouis.com/,http://en.wikipedia.org/wiki/Lambert-St._Louis_International_Airport,
3561,KGPT,large_airport,Gulfport Biloxi International Airport,30.40730094909668,-89.07009887695312,28,,US,US-MS,Gulfport,1,KGPT,GPT,GPT,,http://en.wikipedia.org/wiki/Gulfport-Biloxi_International_Airport,
3619,KJAN,large_airport,Jackson-Medgar Wiley Evers International Airport,32.3111991882,-90.0758972168,346,,US,US-MS,Jackson,1,KJAN,JAN,JAN,,http://en.wikipedia.org/wiki/Jackson-Evers_International_Airport,
3408,KBIL,large_airport,Billings Logan International Airport,45.807701110839844,-108.54299926757812,3652,,US,US-MT,Billings,1,KBIL,BIL,BIL,,http://en.wikipedia.org/wiki/Billings_Logan_International_Airport,
3457,KCLT,large_airport,Charlotte Douglas International Airport,35.2140007019043,-80.94309997558594,748,,US,US-NC,Charlotte,1,KCLT,CLT,CLT,http://www.charlotteairport.com/,http://en.wikipedia.org/wiki/Charlotte/Douglas_International_Airport,
